書籍名,画像URL,ページURL,価格,発売日
ChatGPTと学ぶPython入門  「Python×AI」で誰でも最速でプログラミングを習得できる！,https://www.seshop.com/static/images/product/25768/L.png,https://www.seshop.com/product/detail/25768,2178,2023-11-22 
実務で役立つPython機械学習入門  課題解決のためのデータ分析の基礎,https://www.seshop.com/static/images/product/24967/L.png,https://www.seshop.com/product/detail/24967,3300,2023-11-16 
Pythonで動かして学ぶ！あたらしい線形代数の教科書,https://www.seshop.com/static/images/product/25715/L.png,https://www.seshop.com/product/detail/25715,2860,2023-08-04 
Python3年生 ディープラーニングのしくみ  体験してわかる！会話でまなべる！,https://www.seshop.com/static/images/product/25109/L.png,https://www.seshop.com/product/detail/25109,2420,2023-08-03 
BERT実践入門  PyTorch + Google Colaboratoryで学ぶあたらしい自然言語処理技術,https://www.seshop.com/static/images/product/25702/L.png,https://www.seshop.com/product/detail/25702,3300,2023-07-20 
動かして学ぶ！Python FastAPI開発入門,https://www.seshop.com/static/images/product/25640/L.png,https://www.seshop.com/product/detail/25640,3520,2023-06-14 
pandasデータ処理ドリル  Pythonによるデータサイエンスの腕試し,https://www.seshop.com/static/images/product/25009/L.png,https://www.seshop.com/product/detail/25009,3520,2023-03-15 
マインクラフトでわくわく学ぶ！Pythonプログラミング入門,https://www.seshop.com/static/images/product/25137/L.png,https://www.seshop.com/product/detail/25137,1980,2023-03-15 
Python2年生 デスクトップアプリ開発のしくみ 体験してわかる！会話でまなべる！,https://www.seshop.com/static/images/product/25110/L.png,https://www.seshop.com/product/detail/25110,2420,2022-12-19 
Pythonによるあたらしいデータ分析の教科書 第2版,https://www.seshop.com/static/images/product/25331/L.png,https://www.seshop.com/product/detail/25331,2838,2022-10-24 
PyTorchで作る！深層学習モデル・AI アプリ開発入門,https://www.seshop.com/static/images/product/25063/L.png,https://www.seshop.com/product/detail/25063,3520,2022-09-05 
テスト駆動Python 第2版,https://www.seshop.com/static/images/product/25262/L.png,https://www.seshop.com/product/detail/25262,3300,2022-08-30 
Python1年生 第2版  体験してわかる！会話でまなべる！プログラミングのしくみ,https://www.seshop.com/static/images/product/25005/L.png,https://www.seshop.com/product/detail/25005,2178,2022-08-04 
Pythonで動かして学ぶ！あたらしい機械学習の教科書 第3版,https://www.seshop.com/static/images/product/25020/L.png,https://www.seshop.com/product/detail/25020,2970,2022-07-19 
Pythonで学ぶあたらしい統計学の教科書 第2版,https://www.seshop.com/static/images/product/25031/L.png,https://www.seshop.com/product/detail/25031,3630,2022-06-08 
Python自動化簡単レシピ  Excel・Word・PDFなどの面倒なデータ処理をサクッと解決,https://www.seshop.com/static/images/product/24979/L.png,https://www.seshop.com/product/detail/24979,2750,2022-05-23 
動かして学ぶ！Python Django開発入門 第2版,https://www.seshop.com/static/images/product/24890/L.png,https://www.seshop.com/product/detail/24890,3740,2022-03-14 
Python FlaskによるWebアプリ開発入門  物体検知アプリ&機械学習APIの作り方,https://www.seshop.com/static/images/product/24420/L.png,https://www.seshop.com/product/detail/24420,3740,2022-01-24 
Python3年生 機械学習のしくみ  体験してわかる！会話でまなべる！,https://www.seshop.com/static/images/product/24745/L.png,https://www.seshop.com/product/detail/24745,2420,2021-12-06 
コピペで簡単実行！キテレツおもしろ自然言語処理  PythonとColaboratoryで身につく基礎の基礎,https://www.seshop.com/static/images/product/24746/L.png,https://www.seshop.com/product/detail/24746,2728,2021-12-06 
スラスラわかるPython 第2版,https://www.seshop.com/static/images/product/24718/L.png,https://www.seshop.com/product/detail/24718,2530,2021-11-17 
Google Colaboratoryで学ぶ！あたらしい人工知能技術の教科書  機械学習・深層学習・強化学習で学ぶAIの基礎技術,https://www.seshop.com/static/images/product/24622/L.png,https://www.seshop.com/product/detail/24622,3740,2021-09-08 
Pythonで動かして学ぶ！あたらしいベイズ統計の教科書,https://www.seshop.com/static/images/product/24577/L.png,https://www.seshop.com/product/detail/24577,3300,2021-08-05 
実践Django  Pythonによる本格Webアプリケーション開発,https://www.seshop.com/static/images/product/21340/L.png,https://www.seshop.com/product/detail/21340,3850,2021-07-19 
動かして学ぶ！Pythonサーバレスアプリ開発入門,https://www.seshop.com/static/images/product/24487/L.png,https://www.seshop.com/product/detail/24487,3080,2021-06-14 
Python  ゼロからはじめるプログラミング,https://www.seshop.com/static/images/product/24382/L.png,https://www.seshop.com/product/detail/24382,2068,2021-05-24 
AIエンジニアのための機械学習システムデザインパターン,https://www.seshop.com/static/images/product/24417/L.png,https://www.seshop.com/product/detail/24417,3960,2021-05-17 
プログラマを育てる脳トレパズル  遊んでおぼえるPythonプログラミング＆アルゴリズム,https://www.seshop.com/static/images/product/24197/L.png,https://www.seshop.com/product/detail/24197,1980,2020-12-22 
Pythonで動かして学ぶ！Kaggleデータ分析入門,https://www.seshop.com/static/images/product/24081/L.png,https://www.seshop.com/product/detail/24081,2860,2020-10-22 
Python2年生 データ分析のしくみ 体験してわかる！会話でまなべる！,https://www.seshop.com/static/images/product/23889/L.png,https://www.seshop.com/product/detail/23889,2420,2020-08-21 
データ分析者のためのPythonデータビジュアライゼーション入門  コードと連動してわかる可視化手法,https://www.seshop.com/static/images/product/23725/L.png,https://www.seshop.com/product/detail/23725,2640,2020-08-06 
独習Python,https://www.seshop.com/static/images/product/23724/L.png,https://www.seshop.com/product/detail/23724,3300,2020-06-22 
現場で使える！Python科学技術計算入門  NumPy/SymPy/SciPy/pandasによる数値計算・データ処理手法,https://www.seshop.com/static/images/product/23679/L.png,https://www.seshop.com/product/detail/23679,3520,2020-05-19 
現場で使える！pandasデータ前処理入門  機械学習・データサイエンスで役立つ前処理手法,https://www.seshop.com/static/images/product/23443/L.png,https://www.seshop.com/product/detail/23443,4180,2020-04-20 
Pythonトリック,https://www.seshop.com/static/images/product/23458/L.png,https://www.seshop.com/product/detail/23458,3080,2020-04-15 
なっとく！ディープラーニング,https://www.seshop.com/static/images/product/23382/L.png,https://www.seshop.com/product/detail/23382,2860,2020-03-16 
Pythonで動かして学ぶ！あたらしいIoTの教科書,https://www.seshop.com/static/images/product/23177/L.png,https://www.seshop.com/product/detail/23177,3080,2020-03-11 
Pythonではじめるアルゴリズム入門  伝統的なアルゴリズムで学ぶ定石と計算量,https://www.seshop.com/static/images/product/23250/L.png,https://www.seshop.com/product/detail/23250,2420,2020-01-24 
現場で使える！Python自然言語処理入門,https://www.seshop.com/static/images/product/23257/L.png,https://www.seshop.com/product/detail/23257,3520,2020-01-20 
事例で学ぶ！あたらしいデータサイエンスの教科書,https://www.seshop.com/static/images/product/23210/L.png,https://www.seshop.com/product/detail/23210,2420,2019-12-17 
Pythonで動かして学ぶ！あたらしいブロックチェーンの教科書,https://www.seshop.com/static/images/product/23024/L.png,https://www.seshop.com/product/detail/23024,2948,2019-11-11 
Python2年生 スクレイピングのしくみ 体験してわかる！会話でまなべる！,https://www.seshop.com/static/images/product/23086/L.png,https://www.seshop.com/product/detail/23086,2420,2019-10-04 
Pythonで動かして学ぶ！あたらしい数学の教科書  機械学習・深層学習に必要な基礎知識,https://www.seshop.com/static/images/product/23055/L.png,https://www.seshop.com/product/detail/23055,2948,2019-09-17 
現場で使える！Python深層強化学習入門  強化学習と深層学習による探索と制御,https://www.seshop.com/static/images/product/22970/L.png,https://www.seshop.com/product/detail/22970,3740,2019-08-07 
現場で使える！Python深層学習入門  Pythonの基本から深層学習の実践手法まで,https://www.seshop.com/static/images/product/22771/L.png,https://www.seshop.com/product/detail/22771,3520,2019-06-20 
現場で使える！Python機械学習入門  機械学習アルゴリズムの理論と実践,https://www.seshop.com/static/images/product/20957/L.png,https://www.seshop.com/product/detail/20957,3520,2019-05-24 
Pythonで動かして学ぶ 自然言語処理入門,https://www.seshop.com/static/images/product/22377/L.png,https://www.seshop.com/product/detail/22377,3520,2019-01-23 
現場で使える！NumPyデータ処理入門  機械学習・データサイエンスで役立つ高速処理手法,https://www.seshop.com/static/images/product/22032/L.png,https://www.seshop.com/product/detail/22032,4180,2018-11-19 
Pythonで動かして学ぶ！あたらしい深層学習の教科書  機械学習の基本から深層学習まで,https://www.seshop.com/static/images/product/22080/L.png,https://www.seshop.com/product/detail/22080,3520,2018-10-22 
現場で使える！PyTorch開発入門  深層学習モデルの作成とアプリケーションへの実装,https://www.seshop.com/static/images/product/21919/L.png,https://www.seshop.com/product/detail/21919,2948,2018-09-18 
現場で使える！TensorFlow開発入門  Kerasによる深層学習モデル構築手法,https://www.seshop.com/static/images/product/21540/L.png,https://www.seshop.com/product/detail/21540,2948,2018-04-19 
Pythonの絵本  Pythonを楽しく学ぶ9つの扉,https://www.seshop.com/static/images/product/21331/L.png,https://www.seshop.com/product/detail/21331,1958,2018-02-16 
Pythonによるクローラー＆スクレイピング入門  設計・開発から収集データの解析・運用まで,https://www.seshop.com/static/images/product/21023/L.png,https://www.seshop.com/product/detail/21023,3300,2017-10-23 
